English name,scientific name,authority,range,order,family,extinct,extinct year
Pallas's Cormorant,Urile perspicillatus,"(Pallas, 1811)","islands in Bering Sea; extinct, last seen 1852",Suliformes,Phalacrocoracidae (Cormorants and Shags),1.0,1852
New Zealand Bittern,Ixobrychus novaezelandiae,"(Purdie, 1871)",formerly South Island (New Zealand); extinct,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",1.0,1900
Bermuda Night Heron,Nyctanassa carcinocatactes,"Olson & Wingate, 2006",formerly Bermuda; extinct,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",1.0,xxxx
Reunion Night Heron,Nycticorax duboisi,"(Rothschild, 1907)","formerly Réunion; extinct, last reported in 1674",Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",1.0,1674
Mauritius Night Heron,Nycticorax mauritianus,"(Newton & Gadow, 1893)","formerly Mauritius; extinct, last reported in 1693",Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",1.0,1693
Rodrigues Night Heron,Nycticorax megacephalus,"(Milne-Edwards, 1874)","formerly Rodrigues; extinct, apparently by 1761",Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",1.0,1726
Reunion Ibis,Threskiornis solitarius,"(de Sélys Longchamps, 1848)","formerly Réunion Island; extinct, last reported 1715",Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),1.0,1715
Bermuda Hawk,Bermuteo avivorus,"Olson, 2008",formerly Bermuda; extinct,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",1.0,1603
Reunion Scops-Owl,Otus grucheti,"(Mourer-Chauviré et al., 1994)","formerly Réunion; extinct, likely around 1610",Strigiformes,Strigidae (Owls),1.0,1610
Rodrigues Scops-Owl,Otus murivorus,"(Milne-Edwards, 1873)","formerly Rodrigues; extinct, last account from 1726",Strigiformes,Strigidae (Owls),1.0,1726
Mauritius Scops-Owl,Otus sauzieri,"(Newton & Gadow, 1893)","formerly Mauritius; extinct, last observed 1837",Strigiformes,Strigidae (Owls),1.0,1837
Bermuda Saw-whet Owl,Aegolius gradyi,"Olson, 2012",formerly Bermuda; extinct,Strigiformes,Strigidae (Owls),1.0,xxxx
Laughing Owl,Ninox albifacies,"(Gray, 1844)","formerly New Zealand; extinct, last reported 1970",Strigiformes,Strigidae (Owls),1.0,1970
St. Helena Hoopoe,Upupa antaios,"Olson, 1975",formerly St. Helena Island; extinct,Bucerotiformes,Upupidae (Hoopoes),1.0,1502
Bermuda Flicker,Colaptes oceanicus,"Olson, 2013",formerly Bermuda; extinct,Piciformes,Picidae (Woodpeckers),1.0,1623
Guadalupe Caracara,Caracara lutosa,"(Ridgway, 1876)","formerly Guadalupe Island (Mexico); extinct, last reported 1900",Falconiformes,Falconidae (Falcons and Caracaras),1.0,1900
